wind_speed_mps	wind_direction_deg	price_da_eur_mwh	price_capacity_up_eur_mw_h	price_activation_up_eur_mwh	volume_activation_up_pu	price_imbalance_eur_mwh
20.068052063466165	219.38473528083838	-1.75	148.90901960784313	176.87	0.74871794871794872	176.87
20.27676337802998	219.9391472412768	-1.75	148.90901960784313	178.21000000000001	0.5017094017094017	178.21000000000001
20.485474692593797	220.49355920171524	-1.75	148.90901960784313	55	0.0025641025641025641	55
20.694186007157612	221.04797116215366	-1.75	148.90901960784313	55	0.0008547008547008547	55
20.902897321721429	221.60238312259207	-1.46	148.90901960784313	208.21000000000001	0.61538461538461542	208.21000000000001
21.119778559636284	223.65150379677928	-1.46	148.90901960784313	130.5	0.19401709401709402	130.5
21.336659797551139	225.70062447096649	-1.46	148.90901960784313	60	0	60
21.553541035465994	227.74974514515367	-1.46	148.90901960784313	60	0.0008547008547008547	60
21.770422273380849	229.7988658193409	-5.2699999999999996	148.90901960784313	60	0	60
21.15633075685448	230.48321212559097	-5.2699999999999996	148.90901960784313	60	0	60
20.542239240328108	231.167558431841	-5.2699999999999996	148.90901960784313	60	0	60
19.928147723801739	231.85190473809104	-5.2699999999999996	148.90901960784313	60	0	60
19.314056207275371	232.5362510443411	-4.4100000000000001	148.90901960784313	115.76000000000001	0.10256410256410256	115.76000000000001
18.866342397685802	232.20823904726879	-4.4100000000000001	148.90901960784313	60	0.0034188034188034188	60
18.418628588096233	231.88022705019648	-4.4100000000000001	148.90901960784313	60	0.0008547008547008547	60
17.970914778506668	231.5522150531242	-4.4100000000000001	148.90901960784313	60	0	60
17.523200968917099	231.22420305605189	-5.4000000000000004	148.90686274509804	60	0	60
17.369293314656698	230.76831096768697	-5.4000000000000004	148.90686274509804	60	0.0008547008547008547	60
17.215385660396301	230.31241887932205	-5.4000000000000004	148.90686274509804	60	0.0051282051282051282	60
17.0614780061359	229.85652679095713	-5.4000000000000004	148.90686274509804	60	0.009401709401709403	60
16.907570351875499	229.40063470259221	-4.6900000000000004	148.90686274509804	60	0.0076923076923076927	60
16.794845635072253	228.75344696236073	-4.6900000000000004	148.90686274509804	60	0.02393162393162393	60
16.682120918269007	228.10625922212921	-4.6900000000000004	148.90686274509804	60	0.016239316239316237	60
16.569396201465757	227.45907148189769	-4.6900000000000004	148.90686274509804	60	0.0017094017094017094	60
16.456671484662515	226.81188374166621	-1.3100000000000001	148.90686274509804	60	0.01452991452991453	60
16.728179408063731	227.26461052207094	-1.3100000000000001	148.90686274509804	60	0.0025641025641025641	60
16.999687331464948	227.71733730247564	-1.3100000000000001	148.90686274509804	60	0.011965811965811965	60
17.271195254866164	228.17006408288037	-1.3100000000000001	148.90686274509804	60	0.0025641025641025641	60
17.542703178267381	228.6227908632851	-1.5700000000000001	148.90686274509804	55	0	55
17.429410474585822	229.41292285137914	-1.5700000000000001	148.90686274509804	113.19	0.018803418803418806	113.19
17.316117770904263	230.20305483947317	-1.5700000000000001	148.90686274509804	55	0.0025641025641025641	55
17.202825067222708	230.99318682756717	-1.5700000000000001	148.90686274509804	55	0	304.25
