wind_speed_mps	power_mw	cp	ct
0	0	0	0.91300000000000003
0.5	0	0	0.91300000000000003
1	0	0	0.91300000000000003
1.5	0	0	0.91300000000000003
2	0	0	0.91300000000000003
2.5	0	0	0.91300000000000003
2.6000000000000001	0	0	0.91300000000000003
2.7000000000000002	0	0	0.91300000000000003
2.8000000000000003	0	0	0.91300000000000003
2.9000000000000004	0	0	0.91300000000000003
3	0.023	0.14116663161620902	0.91300000000000003
3.5	0.068000000000000005	0.26282868363276435	0.86499999999999999
4	0.13	0.33661336750875925	0.83299999999999996
4.5	0.20599999999999999	0.37462577923270929	0.82099999999999995
5	0.30099999999999999	0.39904737918084543	0.81699999999999995
5.5	0.41799999999999998	0.41634772271140624	0.81499999999999995
6	0.55700000000000005	0.42733594462080665	0.81200000000000006
6.5	0.71999999999999997	0.43447061306827145	0.80800000000000005
7	0.91200000000000003	0.44062455785492849	0.80400000000000005
7.5	1.1299999999999999	0.44387699123844504	0.80000000000000004
8	1.377	0.44568904524957836	0.79800000000000004
8.5	1.6539999999999999	0.44632036989471852	0.79400000000000004
9	1.954	0.44418614843489923	0.78100000000000003
9.5	2.2719999999999998	0.43914252171959278	0.755
10	2.5720000000000001	0.42622502460678341	0.71099999999999997
10.5	2.8079999999999998	0.40197328085011019	0.64300000000000002
11	2.988	0.37202362304476133	0.56699999999999995
11.5	3.0459999999999998	0.33189778816914639	0.47999999999999998
12	3.0649999999999999	0.29393731379326132	0.40899999999999997
12.5	3.073	0.26073570152244263	0.35299999999999998
13	3.0750000000000002	0.23194394708071783	0.308
13.5	3.0750000000000002	0.20711511527158954	0.27200000000000002
14	3.0750000000000002	0.18570730748408787	0.24099999999999999
14.5	3.0750000000000002	0.16715104407276629	0.216
15	3.0750000000000002	0.15098691903298878	0.19400000000000001
15.5	3.0750000000000002	0.13684155664095524	0.17499999999999999
16	3.0750000000000002	0.12440938763094167	0.159
16.5	3.0750000000000002	0.1134387070120126	0.14499999999999999
17	3.0750000000000002	0.10372091425530981	0.13300000000000001
17.5	3.0750000000000002	0.095082141431852993	0.122
18	3.0750000000000002	0.087376689255201839	0.112
18.5	3.0750000000000002	0.08048184340297114	0.10299999999999999
19	3.0750000000000002	0.074293752986781897	0.096000000000000002
19.5	3.0750000000000002	0.068724132468360843	0.088999999999999996
20	3.0750000000000002	0.063697606467042131	0.083000000000000004
20.5	3.0750000000000002	0.059149559842293302	0.076999999999999999
21	3.0750000000000002	0.0550243874026927	0.071999999999999995
21.5	3.0750000000000002	0.051274061578108807	0.068000000000000005
22	3.0750000000000002	0.047856954520692815	0.064000000000000001
22.5	3.0750000000000002	0.044736864898663339	0.059999999999999998
23	3.0750000000000002	0.04188221021914499	0.056000000000000001
23.5	3.0750000000000002	0.039265353668172721	0.052999999999999999
24	3.0750000000000002	0.036862040779538273	0.050000000000000003
24.5	3.0750000000000002	0.034650926177788983	0.048000000000000001
25	3.0750000000000002	0.032613174511125574	0.044999999999999998
25.5	3.0750000000000002	0.030732122742314016	0.044999999999999998
26	3.0750000000000002	0.028992993385089729	0.044999999999999998
26.5	3.0750000000000002	0.027382650200438594	0.044999999999999998
27	3.0750000000000002	0.025889389408948693	0.044999999999999998
27.5	3.0750000000000002	0.024502760714594722	0.044999999999999998
28	3.0750000000000002	0.023213413435510984	0.044999999999999998
28.5	3.0750000000000002	0.022012963847935382	0.044999999999999998
29	3.0750000000000002	0.020893880509095786	0.044999999999999998
29.5	3.0750000000000002	0.019849384863548349	0.044999999999999998
30	0	0	0
30.5	0	0	0
31	0	0	0
31.5	0	0	0
32	0	0	0
32.5	0	0	0
33	0	0	0
33.5	0	0	0
34	0	0	0
34.5	0	0	0
35	0	0	0
35.5	0	0	0
36	0	0	0
36.5	0	0	0
37	0	0	0
37.5	0	0	0
38	0	0	0
38.5	0	0	0
39	0	0	0
39.5	0	0	0
40	0	0	0
