x_m	y_m	edge_flag	edge_x_m	edge_y_m
4490.1744477080601	2516.52940855734	1	5256.7309287756798	3786.8728447640301
4747.2130409108904	2942.59472132474	1	5560.2182184918702	3493.3719073468801
5005.1311647135299	3368.4871144415802	1	5855.9012408150002	3206.1244178870602
5255.7309287756798	3785.8728447640301	1	5264.6825582293004	2655.6138822175499
5559.2182184918702	3492.3719073468801	1	4860.0245651206296	2283.4177486393601
5854.9012408150002	3206.1244178870602	1	4422.4402501959103	1931.8636588957099
5309.2055669259798	3074.6001092707702	1	3607.0844579465302	1401.9215893708099
5265.6825582293004	2654.6138822175499	1	3042.09255431062	1270.8504631370299
4861.0245651206296	2282.4177486393601	1	2559.1052638282999	958.81428192928399
4186.2292995545404	2810.4652655608902	1	1678.2305377047101	389.79514468833798
4443.16328114521	3236.51545814983	1	1195.1901726814101	77.703809523954902
4701.2076507661804	3662.5777929173701	1	645.86184275307403	-1
4951.8180065429096	4079.94866075646	1	191.82170558394799	158.87471334822399
4647.8250983938296	4374.0430080061697	1	-1	498.70912869181399
4397.2039434908002	3956.5016485573701	1	316.74132882570802	910.78913014475199
4140.18712013599	3530.4534673038802	1	638.13270583143401	1326.51657974626
3882.2043269618798	3104.6050303420002	1	956.11827590927703	1738.56328405626
3836.2082107708502	3824.5963561479002	1	1281.2199079474599	2158.58860723301
4094.15834549075	4250.4428953221004	1	1880.1788336883701	2942.6179036777398
4344.09823339997	4668.1555348252796	1	2195.7729375922299	3356.6003189161402
4040.29138723609	4962.2865905240096	1	2508.7723222274799	3766.89908498246
3790.2255037811101	4544.5889079049202	1	3080.3165105130101	4516.6339369732796
3532.1490971973399	4118.5724532697304	1	3684.5700955055599	5307.7309815911503
3081.3165105130101	4515.6339369732796	1	4041.29138723609	4963.2865905240096
3487.1984705212499	4889.5409735962703	1	4345.09823339997	4669.1555348252796
3684.5700955055599	5306.7309815911503	1	4648.8250983938296	4375.0430080061697
3578.2144966027099	3398.57786243595	1	4952.8180065429096	4080.94866075646
3274.1446576237699	3692.5692681949499	1	nan	nan
2980.1672480781499	4088.5136328078802	1	nan	nan
2509.7723222274799	3765.89908498246	1	nan	nan
2196.7729375922299	3355.6003189161402	1	nan	nan
1881.1788336883701	2941.6179036777398	1	nan	nan
1680.2030372510101	2513.56877887062	1	nan	nan
1282.2199079474599	2157.58860723301	1	nan	nan
957.11827590927703	1737.56328405626	1	nan	nan
3058.1462641165699	3134.5473375441502	1	nan	nan
2754.2060262251698	3428.5697351619601	1	nan	nan
2442.1220081152201	3013.6207346403899	1	nan	nan
2238.18473664671	2577.5833455491802	1	nan	nan
1981.14669400709	2151.4598931874998	1	nan	nan
1526.1775720135699	1813.5286111887499	1	nan	nan
639.13270583143401	1325.51657974626	1	nan	nan
317.74132882570802	909.78913014475199	1	nan	nan
0	498.70912869181399	1	nan	nan
3362.1218518232899	2840.5433644605801	1	nan	nan
3104.1536323391401	2414.5494776209798	1	nan	nan
2800.1685993177198	2709.4955447195098	1	nan	nan
2542.1463646807802	2283.53035240899	1	nan	nan
2284.1961932111299	1857.5783884841901	1	nan	nan
1829.2210361058201	1519.62001130357	1	nan	nan
1248.14853831153	1385.62326998449	1	nan	nan
906.15902769676097	974.52727979514702	1	nan	nan
660.20689653378201	530.10147957224399	1	nan	nan
192.82170558394799	159.87471334822399	1	nan	nan
3666.1327869850202	2546.5578171024099	1	nan	nan
3408.1752885105602	2120.5486328760098	1	nan	nan
3150.2910652236301	1695.4794894848001	1	nan	nan
2846.14334055065	1989.49578363914	1	nan	nan
2588.2038976693202	1563.5285279704201	1	nan	nan
2133.22275063896	1225.54297209531	1	nan	nan
1562.1353017199999	1072.5884768506501	1	nan	nan
1271.1341800451601	640.62540371157195	1	nan	nan
645.86184275307403	0	1	nan	nan
3969.1405516012401	2252.59188704285	1	nan	nan
4423.4402501959103	1930.8636588957099	1	nan	nan
3868.1290738172202	1818.5969240926199	1	nan	nan
3608.0844579465302	1400.9215893708099	1	nan	nan
3043.09255431062	1269.8504631370299	1	nan	nan
2560.1052638282999	957.81428192928399	1	nan	nan
2007.2142961597999	789.58426267001698	1	nan	nan
1679.2305377047101	388.79514468833798	1	nan	nan
1196.1901726814101	76.703809523954902	1	nan	nan
